潮紗理菜	うしお さりな	1997/12/26	神奈川県	O型	158.2cm
影山優佳	かげやま ゆうか	2001/05/08	東京都	O型	155.5cm
加藤史帆	かとう しほ	1998/02/02	東京都	A型	160.7cm
齊藤京子	さいとう きょうこ	1997/09/05	東京都	A型	155.7cm
佐々木久美	ささき くみ	1996/01/22	千葉県	O型	167.5cm
佐々木美玲	ささき みれい	1999/12/17	兵庫県	O型	164.9cm
高瀬愛奈	たかせ まな	1998/09/20	大阪府	A型	156.9cm
高本彩花	たかもと あやか	1998/11/02	神奈川県	B型	162.5cm
東村芽依	ひがしむら めい	1998/08/23	奈良県	O型	154.1cm
金村美玖	かねむら みく	2002/09/10	埼玉県	O型	163.1cm
河田陽菜	かわた ひな	2001/07/23	山口県	B型	154cm
小坂菜緒	こさか なお	2002/09/07	大阪府	O型	161.9cm
富田鈴花	とみた すずか	2001/01/18	神奈川県	A型	165.4cm
丹生明里	にぶ あかり	2001/02/15	埼玉県	AB型	156.6cm
濱岸ひより	はまぎし ひより	2002/09/28	福岡県	A型	167.2cm
松田好花	まつだ このか	1999/04/27	京都府	A型	157.5cm
宮田愛萌	みやた まなも	1998/04/28	東京都	A型	159.3cm
渡邉美穂	わたなべ みほ	2000/02/24	埼玉県	A型	158.2cm
上村ひなの	かみむら ひなの	2004/04/12	東京都	AB型	162.4cm
髙橋未来虹	たかはし みくに	2003/09/27	東京都	B型	170cm
森本茉莉	もりもと まりぃ	2004/02/23	東京都	A型	160.9cm
山口陽世	やまぐち はるよ	2004/02/23	鳥取県	O型	151.7cm
長濱ねる	ながはま ねる	1998/09/04	長崎県	O型	159cm
柿崎芽実	かきざき めみ	2001/12/02	長野県	A型	157cm
井口眞緒	いぐち まお	1995/11/10	新潟県	AB型	163cm
